Category,Sentence,Severity Level
Little interest or pleasure in doing things,এই যে হুটহাট সবকিছু স্বাভাবিক থাকার পরেও অস্বস্তি অনুভব হয় এর কারণ টা তুমি,Not Depressed
"Feeling down,Depressed, or hopeless",তোমার কথা মনে পড়লে কেমন যেনো এলোমেলো হয়ে যাই আমি,Depressed
"Feeling down,Depressed, or hopeless",একটা সড়ক দুর্ঘটনা কেরে  নেয় আমার স্বাভাবিক জীবন,Depressed
"Feeling down,Depressed, or hopeless",জীবনটা এভাবেই থমকে যাবে আমি কখনোই ভাবিনি,Depressed
Little interest or pleasure in doing things,"আমি কোনো কাজে আনন্দ পাই না,কোনো ক্রিয়েটিভ কাজ,কর্মক্ষেত্রে মনযোগ কিংবা নামাজ পড়া কিছুতেই আমার খেয়াল ও নেই,একটা বেখেয়ালি আর উদাসীন ভাব।",Depressed
Little interest or pleasure in doing things," আগে নিয়মিত  নামাজ পড়তাম,ইদানীং অলসতা করে নামাজও পড়া হচ্ছে না।",Depressed
Little interest or pleasure in doing things,"মনে না নাই কোনো রং না আছে আনন্দ,এ জীবন টা কত রঙিন,কালারফুল,কিন্তু আমার জীবন রসকষহীন, বেরঙিন,বোরিং।",Depressed
"Feeling down,Depressed, or hopeless","দিন দিন ডিপ্রেশন, এনজাইটি, কিংবা স্ট্রেস   যাই বলি না কেন তা, লাফিয়ে লাফিয়ে বেড়ে চলেছে। অথচ নিয়মিত মনে হয় এরকম পর্যায়ে  তো এমন হওয়ার কথা না ।",Depressed
Little interest or pleasure in doing things,"মনে হয় কোনো কিছুতেই আমার ডোপামিন নিঃসরণ হচ্ছে না,ব্যায়াম,মেডিটেশন করেও দেখেছি।জীবনটা অসহ্য রকমের বোরিং লাগছে।",Depressed
"Feeling down,Depressed, or hopeless",মানসিক ভাবে খুবই বিপর্যস্ত ফিল করছি,Depressed
"Feeling down,Depressed, or hopeless",মেডিকেল এডমিশন ক্যান্ডিডেট ছিলাম মেইনলি। কিন্তু চান্স হয়নি। অন্য ইউনিভার্সিটি তে চান্স হয়েছে। ,Not Depressed
"Feeling down,Depressed, or hopeless",এত এত সমস্যা দেখা দিয়েছে যে আমার কাউন্সিলিং খুবই প্রয়োজন। ফ্যামিলি এই সব বিষয়  পাত্তা দেয়না। উল্টা বাজে কথা বলে আসে পাশের আত্মীয় স্বজন।,Depressed
Little interest or pleasure in doing things,ভালো কাজে উৎসাহ দিন। তবেই তো মানুষ ভালো কাজ করতে আনন্দ পাবে,Not Depressed
Little interest or pleasure in doing things,"ভালো কাজে উৎসাহ না দিয়ে, সমালোচনা করবে। অযোগ্যদের জ্বলবে এটাই স্বাভাবিক।।",Not Depressed
Little interest or pleasure in doing things,এখন রুটিন মাফিক সব কাজ করতে গিয়ে আগের চেয়ে আরো বেশি আগ্রহ পাই। ,Not Depressed
Little interest or pleasure in doing things,নিজের কাজকে ভালোবাসলে সেখানে আগ্রহের কমতি থাকে না।,Not Depressed
Little interest or pleasure in doing things,আলহামদুলিল্লাহ আগের চেয়ে আরো বেশি এখন কাজে ফোকাস করতে পারি। ,Not Depressed
Little interest or pleasure in doing things,দৈনিক ব্যায়াম বা জিমে গেলে যেকোনো কাজে ফোকাস বেশি থাকে। ,Not Depressed
"Feeling down,Depressed, or hopeless",খোদার সাথে সম্পর্ক ঠিক রাখলে খোদাই সব ঠিক করে দেয়। ,Not Depressed
"Feeling down,Depressed, or hopeless",আজ আমার প্রথম বেতনের টাকা বাবা মার হাতে তুলে দিলাম। ,Not Depressed
"Feeling down,Depressed, or hopeless",হতাশ হইও না যদি মুমিন হও ,Not Depressed
"Feeling down,Depressed, or hopeless",আমি যে পরিকল্পনা নিয়ে আগাচ্ছি আমি আশাবাদী আমি পারব। ,Not Depressed
"Feeling down,Depressed, or hopeless",আমি কখনোই ডিপ্রেসড বা হতাশ বোধ করি না। ,Not Depressed
"Feeling down,Depressed, or hopeless",প্রতিদিন কাজের মধ্যে ব্যস্ত থাকলে দুশ্চিন্তার কোনো সুযোগ নেই। ,Not Depressed
"Feeling down,Depressed, or hopeless",বাবা নেই মাঝে মাঝে মন খারাপ লাগে।,Not Depressed
"Feeling down,Depressed, or hopeless",কয়েক দিন ধরে মনটা ভালো নেই।,Not Depressed
"Feeling down,Depressed, or hopeless",সরকারি বিশ্ববিদ্যালয়ে চান্স পেলে ভালো হত। এজন্য মাঝে মাঝে একটু মন খারাপ হয়।,Not Depressed
"Feeling down,Depressed, or hopeless",হঠাৎ তার কথা মনে পড়লে বুকটা ভারী হয়ে আসে।,Depressed
"Feeling down,Depressed, or hopeless",চারিদিকে যে রকম প্রতিযোগীতা চলতিছে ক্যারিয়ার নিয়ে মাঝে মাঝে চিন্তা হয়। ,Not Depressed
"Feeling down,Depressed, or hopeless",হঠাৎ করে সাধারণ একটা বিষয় নিয়ে আমার মন খারাপ হয়ে যায়। পরে কারও সাথে কথা বলতে ইচ্ছে করে না।,Depressed
